Time,Engine Load (RAM) (g/rev),Engine Speed (rpm),Ignition Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Left (degrees),Knock Correction (degrees),Manifold Relative Pressure (psi),Mass Air Flow (g/s),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Timing Advance (degrees),Vehicle Speed (mph)
34670,0,21,2740,31,00,91,0,00,0,00,-11,32,9,91,20,39,7,45,0,00,40
34880,0,23,2736,44,50,91,0,00,0,00,-11,03,10,55,20,78,7,84,0,00,40
35111,0,23,2731,48,50,91,0,00,0,00,-11,03,10,27,20,78,7,84,0,00,40
35331,0,23,2719,48,50,91,0,00,0,00,-11,03,10,32,20,78,7,84,0,00,40
35551,0,23,2705,48,50,91,0,00,0,00,-11,03,10,36,20,78,7,84,0,00,40
35782,0,23,2708,48,50,91,0,00,0,00,-11,17,10,23,20,78,7,84,0,00,39
36002,0,23,2714,48,50,91,0,00,0,00,-11,17,10,09,20,78,7,45,0,00,39
36222,0,22,2708,48,00,91,0,00,0,00,-11,32,9,29,0,00,7,06,0,00,39
36453,0,20,2713,46,00,91,0,00,0,00,-11,32,8,89,0,00,6,67,0,00,39
36673,0,20,2690,31,00,91,0,00,0,00,-11,32,8,93,20,39,7,06,0,00,39
36893,0,21,2690,36,50,91,0,00,0,00,-11,46,9,29,20,78,7,06,0,00,39
37124,0,21,2686,47,50,91,0,00,0,00,-11,32,9,20,20,78,7,06,0,00,39
37344,0,22,2677,48,00,91,0,00,0,00,-11,32,9,87,20,78,7,45,0,00,39
37564,0,23,2676,48,50,91,0,00,0,00,-11,17,10,46,20,78,7,84,0,00,38
37795,0,23,2659,49,00,91,0,00,0,00,-11,17,9,91,20,78,7,45,0,00,38
38015,0,24,2663,49,00,91,0,00,0,00,-11,03,10,73,20,78,7,84,0,00,39
38245,0,24,2634,49,00,91,0,00,0,00,-11,03,10,36,20,78,7,84,0,00,39
38466,0,24,2628,49,00,91,0,00,0,00,-11,03,10,41,20,78,7,84,0,00,38
38686,0,24,2632,49,50,91,0,00,0,00,-11,03,10,46,20,78,7,84,0,00,38
38916,0,25,2621,49,50,91,0,00,0,00,-11,03,10,55,20,78,7,84,0,00,38
39137,0,24,2640,49,00,91,2,00,0,00,-11,03,10,36,20,78,7,84,0,00,38
39357,0,25,2633,49,50,91,2,00,0,00,-11,03,10,32,20,78,7,84,0,00,38
39587,0,24,2613,49,00,91,2,00,0,00,-11,17,9,87,20,78,7,45,0,00,38
39808,0,23,2612,49,00,91,2,00,0,00,-11,17,9,82,21,18,7,45,0,00,38
40038,0,22,2603,47,50,91,0,00,0,00,-11,32,9,02,0,00,6,67,0,00,38
40258,0,21,2599,45,50,91,0,00,0,00,-11,32,8,93,0,00,6,67,0,00,38
40479,0,21,2572,44,50,91,0,00,0,00,-11,32,8,75,0,00,6,67,0,00,38
40699,0,21,2566,43,00,91,0,00,0,00,-11,32,8,93,0,00,6,67,0,00,38
40929,0,21,2552,42,00,91,0,00,0,00,-11,32,8,84,0,00,6,67,0,00,37
41159,0,22,2522,40,50,91,0,00,0,00,-11,17,9,06,0,00,6,67,0,00,37
41370,0,22,2494,39,50,91,0,00,0,00,-11,17,9,02,0,00,6,67,0,00,37
41600,0,23,2448,38,00,91,0,00,0,00,-11,17,8,93,0,00,6,67,0,00,37
41820,0,23,2414,37,00,91,0,00,0,00,-11,17,8,84,0,00,6,67,0,00,36
42051,0,23,2386,35,50,91,0,00,0,00,-11,17,8,80,0,00,6,67,0,00,36
42271,0,23,2352,34,50,91,0,00,0,00,-11,17,8,59,0,00,6,67,0,00,35
42501,0,23,2334,33,00,91,1,00,0,00,-11,17,8,43,0,00,6,27,0,00,35
42722,0,23,2315,31,50,91,2,00,0,00,-11,17,8,30,0,00,6,27,0,00,34
42942,0,22,2292,30,00,91,2,00,0,00,-11,17,8,18,0,00,6,27,0,00,34
43162,0,22,2272,28,50,91,3,00,0,00,-11,17,8,10,0,00,6,27,0,00,34
43373,0,22,2249,27,00,91,3,00,0,00,-11,17,7,85,0,00,6,27,0,00,34
43603,0,22,2230,25,50,91,4,00,0,00,-11,32,7,64,0,00,5,88,0,00,34
43823,0,21,2228,24,50,91,4,00,0,00,-11,32,7,52,0,00,5,88,0,00,33
44044,0,21,2204,24,00,91,4,00,0,00,-11,32,7,52,0,00,5,88,0,00,33
44274,0,21,2167,24,00,91,5,00,0,00,-11,32,7,29,0,00,5,88,0,00,32
44494,0,21,2148,24,00,91,6,00,0,00,-11,32,7,29,0,00,5,88,0,00,32
44715,0,21,2132,24,00,91,6,00,0,00,-11,32,7,06,0,00,5,49,0,00,32
44945,0,20,2114,24,00,91,7,00,0,00,-11,32,6,98,0,00,5,49,0,00,32
45165,0,20,2086,24,00,91,7,00,0,00,-11,32,6,68,0,00,5,49,0,00,31
45386,0,20,2083,24,00,91,7,00,0,00,-11,32,6,60,0,00,5,49,0,00,31
45616,0,19,2049,24,00,91,8,00,0,00,-11,32,6,38,0,00,5,10,0,00,30
45836,0,19,2027,24,00,91,9,00,0,00,-11,32,6,57,0,00,5,10,0,00,30
46067,0,19,2019,24,00,91,9,00,0,00,-11,32,6,41,0,00,5,10,0,00,30
46287,0,19,1991,17,00,91,10,00,0,00,-11,32,6,09,14,90,4,71,0,00,30
46507,0,20,1968,20,00,91,10,00,0,00,-11,32,7,02,21,57,5,88,0,00,29
46738,0,25,1985,30,50,91,10,00,0,00,-10,88,8,75,21,57,7,06,0,00,29
46958,0,25,1946,40,50,91,10,00,0,00,-10,88,7,36,21,57,5,88,0,00,29
47178,0,23,1956,50,00,91,10,00,0,00,-11,03,7,77,21,57,6,27,0,00,29
47408,0,27,1960,51,50,91,10,00,0,00,-10,59,9,51,21,57,7,45,0,00,29
47639,0,61,1989,45,50,91,10,00,0,50,-5,37,31,91,23,92,18,82,0,50,29
47849,1,18,1981,22,00,91,24,00,1,50,0,00,43,31,63,92,90,59,2,82,29
48079,1,34,2020,14,50,91,19,00,3,50,1,16,46,05,88,63,100,00,4,87,29
48300,1,43,2131,13,00,91,16,00,4,50,2,47,52,99,88,63,100,00,5,98,29
48530,1,55,2171,12,00,91,16,00,4,50,3,92,58,46,88,63,100,00,5,98,28
48750,1,67,2218,12,00,90,16,00,4,50,5,37,64,19,88,63,100,00,5,98,28
48971,1,80,2338,12,50,90,15,00,5,00,6,96,72,01,88,63,100,00,5,98,29
49201,1,94,2388,11,00,90,14,00,5,00,8,56,80,72,88,63,100,00,5,98,29
49421,2,10,2486,10,50,90,14,00,5,00,10,74,90,50,88,63,100,00,5,98,31
49642,2,28,2602,10,50,90,14,00,5,00,12,77,101,38,88,63,100,00,5,98,31
49872,2,47,2706,10,00,90,14,00,5,50,15,09,115,50,87,45,100,00,5,98,34
50092,2,68,2809,9,50,90,15,00,5,50,17,41,129,23,80,78,100,00,5,98,34
50313,2,76,2942,8,50,90,15,00,5,50,18,14,135,33,78,43,100,00,5,98,37
50543,2,72,3069,9,00,90,14,00,5,50,17,56,137,56,78,43,100,00,5,98,37
50763,2,71,3194,9,00,90,14,00,5,50,17,27,145,87,78,82,100,00,5,98,40
50984,2,73,3298,9,50,88,14,00,5,50,17,27,151,96,79,22,100,00,5,98,40
51214,2,75,3459,9,50,88,13,00,5,50,17,12,159,27,79,22,100,00,5,98,43
51434,2,78,3534,9,50,88,13,00,5,50,16,98,167,54,79,61,100,00,5,98,43
51655,2,81,3684,10,00,88,13,00,5,50,16,83,173,60,80,00,100,00,5,98,47
51885,2,82,3793,10,00,88,13,00,6,00,16,54,180,80,80,00,100,00,5,98,47
52105,2,82,3914,10,50,88,12,00,6,00,16,40,185,19,80,39,100,00,5,98,47
52336,2,80,4062,10,50,88,12,00,6,00,16,11,186,01,80,78,100,00,5,98,50
52556,2,75,4114,10,50,88,12,00,6,00,15,96,189,30,80,78,100,00,5,98,50
52776,2,72,4247,11,00,88,10,00,6,00,15,82,193,00,81,18,100,00,5,98,54
53007,2,70,4369,11,50,88,9,00,6,00,15,67,193,83,81,18,100,00,5,98,54
53227,2,67,4437,12,00,86,8,00,6,00,15,24,197,53,81,96,100,00,5,98,58
53447,2,67,4537,12,00,86,7,00,6,00,14,95,199,99,82,35,100,00,5,98,58
53677,2,65,4634,12,50,86,7,00,6,00,14,80,204,72,82,75,100,00,5,98,61
53898,2,60,4780,13,50,86,7,00,6,00,14,51,205,17,82,75,100,00,5,98,61
54118,2,60,4862,14,00,86,7,00,6,00,14,22,207,84,83,14,100,00,5,98,65
54348,2,53,4957,15,00,86,7,00,6,00,13,78,207,84,83,92,100,00,5,98,65
54569,2,51,5056,15,50,86,6,00,6,00,13,35,208,73,84,71,100,00,5,98,67
54789,2,46,5167,16,50,86,6,00,6,00,13,06,210,96,85,88,100,00,5,98,67
55019,2,45,5200,16,50,86,5,00,6,00,12,62,213,63,86,27,100,00,5,98,70
55240,2,41,5306,17,50,86,4,00,6,00,12,19,214,07,86,27,100,00,5,98,70
55470,2,38,5384,18,00,86,4,00,6,00,11,75,212,74,86,27,100,00,5,98,73
55690,2,33,5453,18,50,86,3,00,6,00,11,46,211,85,86,27,100,00,5,98,73
55911,2,30,5593,19,00,86,2,00,6,00,11,32,210,51,86,27,100,00,5,98,76
56141,2,28,5654,20,00,84,2,00,6,00,10,88,212,29,86,27,100,00,5,98,76
56361,2,26,5705,20,00,84,1,00,6,00,10,59,216,30,86,27,100,00,5,98,76
56582,2,23,5818,20,50,84,1,00,6,00,10,45,212,29,86,27,100,00,5,98,78
56812,2,20,5850,21,00,84,0,00,6,00,10,30,212,74,86,27,100,00,5,98,78
57032,2,17,5917,21,50,84,0,00,6,00,10,01,214,96,86,27,100,00,5,98,81
57263,2,14,6037,21,50,84,0,00,6,00,10,01,214,96,85,88,100,00,5,98,81
57483,0,61,6528,24,00,84,0,00,0,00,-6,67,51,52,0,00,15,29,0,00,83
57703,0,17,6119,24,00,84,0,00,0,00,-11,32,17,94,0,00,11,37,0,00,83
57924,0,18,5572,24,00,84,0,00,0,00,-11,46,16,82,0,00,10,59,0,00,85
58134,0,49,4777,33,00,84,0,00,0,00,-2,03,93,85,14,12,45,10,0,00,85
58364,1,64,4311,20,50,84,1,00,6,00,5,51,133,41,87,06,100,00,5,98,85
58585,2,48,4321,15,00,84,9,00,6,00,13,35,186,43,87,06,100,00,5,98,85
58805,2,73,4320,11,00,84,9,00,6,00,16,11,199,58,80,00,100,00,5,98,86
59035,2,74,4374,10,50,84,8,00,6,00,16,11,201,67,80,00,100,00,5,98,86
59256,2,34,4645,30,00,84,8,00,6,00,5,80,81,79,0,00,26,67,5,98,87
59486,0,23,4764,24,00,84,4,00,0,00,-10,59,16,16,0,00,11,37,0,00,87
59706,0,23,4413,24,00,84,1,00,0,00,-11,03,17,04,0,00,10,59,0,00,88
59926,0,22,4052,26,00,84,1,00,0,00,-11,03,16,38,14,12,9,80,0,00,88
60157,1,43,3284,22,00,84,7,00,6,00,2,61,91,88,87,84,100,00,5,98,88
60377,1,92,3376,14,50,84,14,00,6,00,8,56,121,65,87,84,100,00,5,98,88
60587,2,55,3348,12,00,84,13,00,6,00,15,53,150,92,83,53,100,00,5,98,88
60808,2,79,3371,10,00,84,13,00,6,00,17,99,158,57,75,29,100,00,5,98,88
61028,0,57,3362,42,00,84,13,00,0,00,-6,53,3,54,15,29,8,24,0,39,88
61258,0,13,3296,44,00,84,11,00,0,00,-10,74,8,59,0,00,7,45,0,00,88
61479,0,17,3346,43,00,84,2,00,0,00,-10,88,10,00,0,00,7,45,0,00,88
61709,0,18,3274,42,00,84,1,00,0,00,-11,17,9,73,0,00,7,45,0,00,89
61929,0,18,3240,41,00,84,1,00,0,00,-11,17,9,55,0,00,7,06,0,00,89
62150,0,17,3208,39,50,84,1,00,0,00,-11,17,9,38,0,00,7,06,0,00,88
62370,0,17,3144,38,50,84,1,00,0,00,-11,17,9,15,0,00,7,06,0,00,88
62580,0,17,3122,37,00,84,1,00,0,00,-11,17,9,11,0,00,7,06,0,00,87
62801,0,18,3095,36,00,84,1,00,0,00,-11,17,9,33,0,00,7,06,0,00,87
63031,0,18,3051,35,00,84,1,00,0,00,-11,17,9,24,0,00,7,06,0,00,85
63251,0,18,2994,34,00,84,1,00,0,00,-11,17,9,20,0,00,7,06,0,00,85
63472,0,18,2962,32,50,84,1,00,0,00,-11,17,9,11,0,00,7,06,0,00,83
63712,0,18,2931,31,50,84,1,00,0,00,-11,17,8,93,0,00,7,06,0,00,83
63922,0,19,2938,30,00,84,1,00,0,00,-11,17,9,20,0,00,7,06,0,00,80
64143,0,19,2904,29,00,84,1,00,0,00,-11,17,9,33,0,00,7,06,0,00,80
64373,0,19,2886,27,50,84,0,00,0,00,-11,17,9,06,0,00,7,06,0,00,80
64593,0,19,2890,26,50,84,1,00,0,00,-11,17,9,20,0,00,7,06,0,00,78
64824,0,19,2884,25,00,84,1,00,0,00,-11,17,9,29,0,00,7,06,0,00,78
65044,0,20,2852,31,50,84,0,00,0,00,-11,32,9,33,19,61,7,06,0,00,77
65264,0,20,2847,47,00,84,1,00,0,00,-11,32,9,55,20,39,7,45,0,00,77
65494,0,22,2818,47,50,84,1,00,0,00,-11,03,10,46,20,39,7,84,0,00,76
65715,0,22,2800,48,00,84,1,00,0,00,-11,03,10,46,20,39,7,84,0,00,76
65945,0,23,2810,48,00,84,0,00,0,00,-10,88,11,97,20,39,9,02,0,00,75
66165,0,30,2787,51,00,84,2,00,0,00,-10,16,15,04,20,39,10,59,0,00,75
66386,0,33,2778,51,50,84,8,00,0,00,-10,01,14,95,20,39,10,59,0,00,75
66616,0,35,2786,51,50,84,8,00,0,00,-9,87,16,11,20,39,10,59,0,00,75
66836,0,35,2759,51,50,84,9,00,0,00,-9,87,15,72,20,39,10,59,0,00,75
67067,0,36,2768,52,00,84,10,00,0,00,-9,72,16,67,20,39,11,37,0,00,75
67277,0,39,2761,52,00,84,11,00,0,00,-9,43,17,77,20,39,11,76,0,00,74
67507,0,41,2756,52,50,84,14,00,0,00,-9,14,19,32,20,39,12,16,0,00,74
67728,0,43,2734,52,50,84,16,00,0,00,-8,85,20,39,20,39,12,55,0,00,73
67948,0,49,2726,53,50,84,19,00,0,00,-8,27,22,45,20,78,13,33,0,00,73
68178,0,50,2740,53,50,84,23,00,0,00,-8,13,22,91,20,78,13,33,0,00,73
68399,0,51,2733,53,00,84,25,00,0,00,-7,98,25,23,20,78,14,12,0,05,73
68629,0,74,2719,42,50,84,28,00,1,00,-5,08,37,65,23,53,19,61,0,89,73
68849,0,94,2719,36,00,84,27,00,2,00,-3,05,46,60,23,92,22,35,1,98,73
69070,1,08,2723,30,50,84,19,00,2,50,-2,03,50,40,23,92,22,75,2,41,73
69300,1,14,2746,28,00,84,16,00,2,50,-1,31,53,36,23,92,22,35,2,63,72
69520,1,20,2750,26,00,84,16,00,3,00,-0,73,55,85,23,92,22,35,2,93,72
